Dimension,Discriminant Power,Intraclass,Interclass
0,17.9216,8.95674e+08,4.99773e+07
1,0.955263,7718.51,8079.99
2,3.45254,1046.86,303.214
3,7.74298,1324.6,171.071
4,4.30587,28486.4,6615.72
5,2.26895,19780.5,8717.9
6,1.36925,58.8704,42.9947
7,2.69739,11.2212,4.16004
8,8.25548,32.7416,3.96604
9,5.33351,769.531,144.282
10,27.3354,3914.53,143.204
11,2.83061,13.7476,4.85677
12,11.35,11.3863,1.0032
13,12.2753,68.5128,5.58135
14,11.1189,1207.93,108.637
15,21.77,3539.54,162.588
16,6.29919,33.4382,5.30833
17,13.3279,40.9076,3.06932
18,11.379,255.562,22.4592
19,10.9082,4342.75,398.117
20,2.949,61656,20907.5
21,2.88164,778.201,270.055
22,5.58383,405.464,72.6139
23,8.19631,1751.35,213.676
24,4.47052,41698.9,9327.53
Min Discriminant Power 1 with value 0.955263
Max Discriminant Power 10 with value 27.3354